"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Justin Jefferson","MIN","13","WR1","1","1","1","1","","1.0"
"2","Christian McCaffrey","SF","9","RB1","3","2","2","2","","2.3"
"3","Ja'Marr Chase","CIN","7","WR2","2","3","4","3","","3.0"
"4","Austin Ekeler","LAC","5","RB2","4","4","3","4","","3.8"
"5","Travis Kelce","KC","10","TE1","5","5","6","8","","6.0"
"6","Cooper Kupp","LAR","10","WR3","7","6","5","7","","6.3"
"7","Tyreek Hill","MIA","10","WR4","6","7","8","5","","6.5"
"8","Saquon Barkley","NYG","13","RB3","9","10","7","6","","8.0"
"9","Bijan Robinson","ATL","11","RB4","8","8","9","9","","8.5"
"10","Stefon Diggs","BUF","13","WR5","11","9","10","11","","10.3"
"11","Nick Chubb","CLE","5","RB5","14","12","17","10","","13.3"
"12","CeeDee Lamb","DAL","7","WR6","16","11","15","13","","13.8"
"13","Davante Adams","LV","13","WR7","12","15","12","17","","14.0"
"14","A.J. Brown","PHI","10","WR8","19","13","13","15","","15.0"
"15","Patrick Mahomes II","KC","10","QB1","13","14","16","19","","15.5"
"16","Derrick Henry","TEN","7","RB6","10","16","19","20","","16.3"
"17","Josh Jacobs","LV","13","RB7","18","19","14","14","","16.3"
"18","Tony Pollard","DAL","7","RB8","15","21","18","12","","16.5"
"19","Garrett Wilson","NYJ","7","WR9","17","18","20","16","","17.8"
"20","Amon-Ra St. Brown","DET","9","WR10","21","17","21","18","","19.3"
"21","Josh Allen","BUF","13","QB2","20","20","22","21","","20.8"
"22","Jonathan Taylor","IND","11","RB9","26","24","11","27","","22.0"
"23","Jalen Hurts","PHI","10","QB3","22","23","23","24","","23.0"
"24","Jaylen Waddle","MIA","10","WR11","23","22","25","23","","23.3"
"25","Chris Olave","NO","11","WR12","28","25","32","25","","27.5"
"26","DeVonta Smith","PHI","10","WR13","30","27","27","26","","27.5"
"27","Najee Harris","PIT","6","RB10","32","29","30","22","","28.3"
"28","Mark Andrews","BAL","13","TE2","35","26","26","30","","29.3"
"29","Travis Etienne Jr.","JAC","9","RB11","29","31","31","28","","29.8"
"30","Tee Higgins","CIN","7","WR14","27","28","29","38","","30.5"
"31","DK Metcalf","SEA","5","WR15","24","32","34","36","","31.5"
"32","Rhamondre Stevenson","NE","11","RB12","39","30","28","29","","31.5"
"33","Joe Mixon","CIN","7","RB13","25","38","42","31","","34.0"
"34","Joe Burrow","CIN","7","QB4","33","34","33","37","","34.3"
"35","Lamar Jackson","BAL","13","QB5","31","33","35","41","","35.0"
"36","Jahmyr Gibbs","DET","9","RB14","37","35","37","32","","35.3"
"37","Calvin Ridley","JAC","9","WR16","38","36","36","33","","35.8"
"38","Deebo Samuel","SF","9","WR17","36","37","39","39","","37.8"
"39","Aaron Jones","GB","6","RB15","34","41","38","40","","38.3"
"40","Amari Cooper","CLE","5","WR18","41","43","45","42","","42.8"
"41","Breece Hall","NYJ","7","RB16","52","39","24","57","","43.0"
"42","Keenan Allen","LAC","5","WR19","40","40","52","43","","43.8"
"43","Kenneth Walker III","SEA","5","RB17","50","42","50","35","","44.3"
"44","Justin Fields","CHI","13","QB6","44","45","40","48","","44.3"
"45","Justin Herbert","LAC","5","QB7","42","47","44","44","","44.3"
"46","T.J. Hockenson","MIN","13","TE3","43","46","47","46","","45.5"
"47","Dameon Pierce","HOU","7","RB18","47","48","64","34","","48.3"
"48","George Kittle","SF","9","TE4","45","44","46","59","","48.5"
"49","Miles Sanders","CAR","7","RB19","60","53","41","45","","49.8"
"50","DJ Moore","CHI","13","WR20","55","51","43","56","","51.3"
"51","Darren Waller","NYG","13","TE5","46","54","54","53","","51.8"
"52","DeAndre Hopkins","TEN","7","WR21","48","49","56","60","","53.3"
"53","Terry McLaurin","WAS","14","WR22","66","50","48","51","","53.8"
"54","Trevor Lawrence","JAC","9","QB8","59","52","49","61","","55.3"
"55","Christian Watson","GB","6","WR23","49","61","59","55","","56.0"
"56","Mike Williams","LAC","5","WR24","64","71","53","58","","61.5"
"57","Alvin Kamara","NO","11","RB20","51","64","68","64","","61.8"
"58","Kyle Pitts","ATL","11","TE6","58","59","57","73","","61.8"
"59","Dallas Goedert","PHI","10","TE7","62","60","58","75","","63.8"
"60","J.K. Dobbins","BAL","13","RB21","83","57","66","52","","64.5"
"61","Cam Akers","LAR","10","RB22","68","67","61","63","","64.8"
"62","Alexander Mattison","MIN","13","RB23","61","58","94","47","","65.0"
"63","James Conner","ARI","14","RB24","56","66","73","65","","65.0"
"64","Rachaad White","TB","5","RB25","53","76","83","50","","65.5"
"65","Dalvin Cook","NYJ","7","RB26","80","70","51","62","","65.8"
"66","Jerry Jeudy","DEN","9","WR25","69","55","60","81","","66.3"
"67","Chris Godwin","TB","5","WR26","54","62","86","66","","67.0"
"68","Drake London","ATL","11","WR27","78","56","69","72","","68.8"
"69","Tyler Lockett","SEA","5","WR28","70","68","76","71","","71.3"
"70","Javonte Williams","DEN","9","RB27","72","79","89","49","","72.3"
"71","Isiah Pacheco","KC","10","RB28","71","73","75","70","","72.3"
"72","Brandon Aiyuk","SF","9","WR29","74","65","84","69","","73.0"
"73","D'Andre Swift","PHI","10","RB29","85","63","77","68","","73.3"
"74","James Cook","BUF","13","RB30","65","84","95","54","","74.5"
"75","Mike Evans","TB","5","WR30","63","74","81","82","","75.0"
"76","Christian Kirk","JAC","9","WR31","84","72","80","67","","75.8"
"77","Deshaun Watson","CLE","5","QB9","67","89","55","93","","76.0"
"78","Diontae Johnson","PIT","6","WR32","57","81","93","76","","76.8"
"79","Evan Engram","JAC","9","TE8","77","77","67","90","","77.8"
"80","Michael Pittman Jr.","IND","11","WR33","87","69","92","79","","81.8"
"81","San Francisco 49ers","DST","9","DST1","73","87","62","107","","82.3"
"82","George Pickens","PIT","6","WR34","76","75","106","74","","82.8"
"83","David Njoku","CLE","5","TE9","90","86","63","98","","84.3"
"84","David Montgomery","DET","9","RB31","75","82","109","77","","85.8"
"85","Dak Prescott","DAL","7","QB10","89","88","88","92","","89.3"
"86","Marquise Brown","ARI","14","WR35","79","78","117","87","","90.3"
"87","Tua Tagovailoa","MIA","10","QB11","101","90","72","108","","92.8"
"88","Jahan Dotson","WAS","14","WR36","95","91","101","85","","93.0"
"89","AJ Dillon","GB","6","RB32","96","92","105","83","","94.0"
"90","Jordan Addison","MIN","13","WR37","103","85","102","86","","94.0"
