ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Justin Jefferson,WR,MIN,1026,0.7,1,4,13
1.02,2.5,Christian McCaffrey,RB,SF,1062,0.9,1,6,9
1.03,2.5,Ja'Marr Chase,WR,CIN,551,0.8,1,6,7
1.04,4.4,Tyreek Hill,WR,MIA,926,1.2,1,10,10
1.05,5.0,Austin Ekeler,RB,LAC,1152,1.5,1,11,5
1.06,6.0,Travis Kelce,TE,KC,1020,1.8,1,12,10
1.07,6.8,Cooper Kupp,WR,LAR,1032,1.8,2,14,10
1.09,8.6,Stefon Diggs,WR,BUF,861,1.8,4,17,13
1.09,8.9,Saquon Barkley,RB,NYG,929,2.2,3,17,13
1.09,9.2,Bijan Robinson,RB,ATL,1418,2.8,1,20,11
1.11,11.2,CeeDee Lamb,WR,DAL,683,2.3,5,19,7
1.12,12.3,Nick Chubb,RB,CLE,1431,3.0,4,20,5
2.01,12.8,A.J. Brown,WR,PHI,834,2.5,6,20,10
2.02,13.6,Amon-Ra St. Brown,WR,DET,951,2.5,7,21,9
2.03,15.4,Tony Pollard,RB,DAL,1157,2.7,8,24,7
2.04,15.9,Garrett Wilson,WR,NYJ,1506,2.6,9,25,7
2.04,15.9,Davante Adams,WR,LV,846,2.4,9,24,13
2.06,17.6,Derrick Henry,RB,TEN,1058,3.0,9,26,7
2.08,19.6,Patrick Mahomes,QB,KC,909,4.6,7,32,10
2.08,20.2,Jaylen Waddle,WR,MIA,732,2.3,14,29,10
2.09,20.6,Chris Olave,WR,NO,913,2.4,14,30,11
2.10,21.9,Josh Jacobs,RB,LV,1491,3.5,12,34,13
2.11,23.4,DeVonta Smith,WR,PHI,859,2.8,16,33,10
2.12,23.9,Rhamondre Stevenson,RB,NE,417,3.3,15,35,11
3.01,25.2,Jonathan Taylor,RB,IND,717,3.9,14,36,11
3.03,26.8,Josh Allen,QB,BUF,923,4.3,15,38,13
3.03,26.8,Keenan Allen,WR,LAC,887,6.5,9,45,5
3.03,26.8,Tee Higgins,WR,CIN,650,3.3,18,38,7
3.03,27.2,Jalen Hurts,QB,PHI,1070,4.7,14,41,10
3.05,29.1,Mark Andrews,TE,BAL,958,4.4,17,46,13
3.05,29.4,Najee Harris,RB,PIT,853,6.9,11,46,6
3.05,29.4,Joe Mixon,RB,CIN,1255,8.2,8,45,7
3.06,29.9,Calvin Ridley,WR,JAX,1612,4.2,19,42,9
3.06,30.1,D.K. Metcalf,WR,SEA,907,5.8,15,43,5
3.11,35.1,Travis Etienne,RB,JAX,1021,4.9,22,49,9
3.12,35.7,Amari Cooper,WR,CLE,699,4.2,24,50,5
3.12,36.1,Jahmyr Gibbs,RB,DET,1519,6.0,20,55,9
4.01,36.7,Breece Hall,RB,NYJ,418,5.0,23,49,7
4.01,37.1,Deebo Samuel,WR,SF,957,4.6,25,52,9
4.02,37.7,Lamar Jackson,QB,BAL,965,4.9,24,72,13
4.03,38.9,Aaron Jones,RB,GB,940,4.4,27,50,6
4.04,40.3,DeAndre Hopkins,WR,TEN,884,5.5,26,59,7
4.07,43.2,Joe Burrow,QB,CIN,830,6.0,27,66,7
4.08,44.3,Drake London,WR,ATL,576,4.2,33,59,11
4.08,44.3,Jerry Jeudy,WR,DEN,223,5.7,29,68,9
4.08,44.4,D.J. Moore,WR,CHI,1221,4.9,31,61,13
4.09,44.5,T.J. Hockenson,TE,MIN,743,4.9,31,61,13
4.12,48.4,Kenneth Walker III,RB,SEA,1047,5.7,33,67,5
4.12,48.5,Chris Godwin,WR,TB,466,4.9,35,66,5
5.01,48.5,Justin Fields,QB,CHI,808,6.5,31,70,13
5.01,49.1,Christian Watson,WR,GB,825,5.1,35,72,6
