player,position,team,points,floor,ceiling,position_rank,sd_adp,bye,adp_espn,adp_sleeper,adp_rtsports,params,p_injury_game,injury_risk,flex_rank
Christian McCaffrey,RB,SF,319.0,272.0,369.0,1.0,0.9,9.0,3.0,2.0,2.0,"{'a': 1.0, 'loc': 299.0, 'scale': 35.75}",0.096, High,2.0
Austin Ekeler,RB,LAC,311.0,271.0,335.0,2.0,1.5,5.0,4.0,4.0,4.0,"{'a': -6.0, 'loc': 334.75, 'scale': 32.45}",0.085, High,5.0
Travis Kelce,TE,KC,286.0,262.0,319.0,1.0,1.8,10.0,5.0,5.0,8.0,"{'a': 4.0, 'loc': 264.25, 'scale': 27.95}",0.015, Low,
Justin Jefferson,WR,MIN,331.0,286.0,369.0,1.0,0.7,13.0,1.0,1.0,1.0,"{'a': -2.0, 'loc': 356.75, 'scale': 36.1}",0.03,Medium,1.0
Ja'Marr Chase,WR,CIN,316.0,272.0,361.0,2.0,0.8,7.0,2.0,3.0,3.0,"{'a': 0.75, 'loc': 301.25, 'scale': 30.85}",0.109, High,3.0
Cooper Kupp,WR,LAR,312.0,272.0,345.0,3.0,1.8,10.0,7.0,6.0,7.0,"{'a': -2.25, 'loc': 336.0, 'scale': 32.7}",0.048,Medium,4.0
Saquon Barkley,RB,NYG,275.0,244.0,321.0,3.0,2.2,13.0,9.0,10.0,6.0,"{'a': 6.0, 'loc': 244.25, 'scale': 39.15}",0.055,High,10.0
Tyreek Hill,WR,MIA,306.0,270.0,329.0,4.0,1.2,10.0,6.0,7.0,5.0,"{'a': -5.5, 'loc': 328.5, 'scale': 29.85}",0.132, High,6.0
Tony Pollard,RB,DAL,264.0,227.0,303.0,4.0,2.7,7.0,15.0,21.0,12.0,"{'a': 1.0, 'loc': 248.25, 'scale': 27.9}",0.042,Medium,12.0
CeeDee Lamb,WR,DAL,291.0,249.0,328.0,5.0,2.3,7.0,16.0,11.0,13.0,"{'a': -1.75, 'loc': 314.5, 'scale': 33.45}",0.063,High,7.0
Josh Jacobs,RB,LVR,258.0,226.0,291.0,5.5,3.5,13.0,18.0,19.0,14.0,"{'a': 0.75, 'loc': 247.25, 'scale': 22.45}",0.054,High,13.5
Nick Chubb,RB,CLE,258.0,223.0,292.0,5.5,3.0,5.0,14.0,12.0,10.0,"{'a': -0.75, 'loc': 269.25, 'scale': 23.8}",0.057,High,13.5
Derrick Henry,RB,TEN,257.0,233.0,275.0,7.5,3.0,7.0,10.0,16.0,20.0,"{'a': -3.25, 'loc': 272.25, 'scale': 19.95}",0.047,Medium,16.0
