"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",319,35.4,7.91,272,369,163,145,177,1,1,1,1,"1",3.01,64.5,55
"2","Austin Ekeler","RB","LAC",311,21.4,36,271,335,155,144,143,2,2,5,2,"2",5.08,59.9,7
"3","Travis Kelce","TE","KC",286,21.9,73.6,262,319,152,142,158,3,3,2,1,"1",7.06,57.4,23
"4","Justin Jefferson","WR","MIN",331,32.6,15,286,369,144,125,152,4,4,3,1,"1",1.92,65,52
"5","Ja'Marr Chase","WR","CIN",316,29.2,3.55,272,361,129,112,143,5,7,4,2,"1",4.7,60,44
"6","Cooper Kupp","WR","LAR",312,27.3,5.98,272,345,125,112,127,6,6,7,3,"1",9.01,53.9,35
"7","Saquon Barkley","RB","NYG",275,29.4,10.6,244,321,119,117,128,7,5,6,3,"3",10.5,51.9,41
"8","Tyreek Hill","WR","MIA",306,21.2,15,270,329,119,109,111,8,8,9,4,"2",8.11,55.9,7
"9","Tony Pollard","RB","DAL",264,26.4,5.88,227,303,109,99.9,110,9,12,10,4,"3",15.1,46.4,24
"10","CeeDee Lamb","WR","DAL",291,32,6.68,249,328,104,88.5,110,10,17,11,5,"2",16,44.1,58
"11","Josh Jacobs","RB","LVR",258,23.9,0.36,226,291,103,99.4,98.9,11,13,16,5,"3",18,42.2,20
"12","Nick Chubb","RB","CLE",258,26,1.28,223,292,102,96.4,99.8,12,15,13,6,"3",10.6,52.5,25
"13","Derrick Henry","RB","TEN",257,14.4,0.107,233,275,101,106,82.2,13,9,23,7,"3",14.3,48.2,1
"14","Bijan Robinson","RB","ATL",257,22.3,11.8,227,287,101,100,94.1,14,11,19,8,"4",8.63,61.1,13
"15","Patrick Mahomes","QB","KC",369,12.4,1.42,354,392,97.7,101,106,15,10,12,1,"1",14.5,42.5,3
"16","Davante Adams","WR","LVR",285,25.8,3.75,245,316,97.3,84.3,97.7,16,20,17,6,"2",17,45.6,30
"17","Jalen Hurts","QB","PHI",368,18.6,3.4,340,385,96.3,87.4,99.3,17,18,15,2,"1",20.7,36.9,9
"18","Stefon Diggs","WR","BUF",281,23,13,258,317,93.6,97.6,99.4,18,14,14,7,"3",12.9,49.4,15
"19","Josh Allen","QB","BUF",365,27.8,41,329,408,92.9,76.5,122,19,23,8,3,"2",19.5,36.8,44
"20","Jonathan Taylor","RB","IND",245,25.2,5.96,211,278,89.3,83.8,86,20,22,22,9,"4",22.5,39.2,42
"21","Joe Mixon","RB","CIN",239,26,5.14,217,287,83.4,90.5,94.4,21,16,18,10,"4",30.9,32.7,44
"22","Amon-Ra St. Brown","WR","DET",268,19.1,11.2,247,291,80.5,87,73.3,22,19,25,8,"3",20.9,40.6,1
"23","Mark Andrews","TE","BAL",212,18.3,16.1,189,235,78.7,68.5,74.7,23,26,24,2,"2",33.3,26.5,20
"24","Aaron Jones","RB","GB",234,17.6,3.61,211,259,78.2,84.2,66.6,24,21,30,11,"4",36.6,28.7,8
"25","Rhamondre Stevenson","RB","NE",230,25.3,1.99,200,259,74.6,73.5,66.8,25,24,29,12,"5",33.1,26.7,35
"26","Najee Harris","RB","PIT",228,29.3,11.3,180,265,72.6,53.4,72.8,26,33,26,13,"5",29.5,31.5,58
"27","A.J. Brown","WR","PHI",257,33.2,4.17,217,309,69.3,56.5,91.5,27,31,20,9,"3",15.9,43.1,66
"28","Garrett Wilson","WR","NYJ",253,28,6.14,222,304,65.2,61.8,86.2,28,28,21,10,"4",19.9,40.1,45
"29","T.J. Hockenson","TE","MIN",196,15.1,12.6,177,215,62.6,56.4,54.8,29,32,35,3,"2",49.2,18,17
"30","Travis Etienne","RB","JAC",217,19.2,2.88,193,247,61.3,65.8,54.5,30,27,36,14,"5",31.1,29.6,15
"31","Jaylen Waddle","WR","MIA",246,22,11.1,212,269,59,52.1,51.2,31,34,41,11,"4",25.9,33.7,17
"32","Kenneth Walker III","RB","SEA",214,27.9,1.56,179,259,58.4,52,66.9,32,35,28,15,"5",44.3,19,52
"33","James Conner","RB","ARI",212,14.1,0.734,199,231,56.9,72.3,38.1,33,25,50,16,"5",61,16,4
"34","Jahmyr Gibbs","RB","DET",212,22.5,3.26,176,239,56.1,49,46.2,34,40,44,17,"6",34.5,33.8,28
"35","Alexander Mattison","RB","MIN",208,18.1,1.09,186,233,52.9,59.3,41,35,30,48,18,"6",57.4,17.7,23
"36","Lamar Jackson","QB","BAL",324,21.3,1.8,291,356,51.9,38.4,70,36,51,27,4,"2",35.2,26.9,29
"37","Dameon Pierce","RB","HOU",207,24.8,1.44,188,256,51.8,60.9,63.6,37,29,33,19,"6",46.9,18.8,46
"38","Rachaad White","RB","TB",206,22.9,3.38,171,228,50.3,44,35.6,38,44,55,20,"6",71.7,12.1,38
"39","Joe Burrow","QB","CIN",322,21.7,18.1,294,350,50.1,41.2,64.8,39,49,31,5,"3",36.4,25.2,26
"40","George Kittle","TE","SF",183,20.7,4.44,162,214,50,42.3,53,40,48,39,4,"3",51.2,16.2,40
